Date,Nifty,Nikkei,HangSeng,DAX,SP500,Nasdaq,US_10Y,DXY,Gold,Oil,Bitcoin
2016-01-13,7562.39990234375,17715.630859375,19934.880859375,9960.9599609375,1890.280029296875,4183.1201171875,2.065999984741211,98.93000030517578,1087.5,30.309999465942383,432.3710021972656
2016-01-14,7536.7998046875,17240.94921875,19817.41015625,9794.2001953125,1921.8399658203125,4272.97021484375,2.0980000495910645,99.08999633789062,1073.9000244140625,31.030000686645508,430.3059997558594
2016-01-15,7437.7998046875,17147.109375,19520.76953125,9545.26953125,1880.3299560546875,4141.080078125,2.0329999923706055,98.95999908447266,1091.5,31.010000228881836,364.33099365234375
2016-01-16,7437.7998046875,17147.109375,19520.76953125,9545.26953125,1880.3299560546875,4141.080078125,2.0329999923706055,98.95999908447266,1091.5,31.010000228881836,387.5360107421875
2016-01-17,7437.7998046875,17147.109375,19520.76953125,9545.26953125,1880.3299560546875,4141.080078125,2.0329999923706055,98.95999908447266,1091.5,31.010000228881836,382.29901123046875
2016-01-18,7351.0,16955.5703125,19237.44921875,9521.849609375,1880.3299560546875,4141.080078125,2.0329999923706055,99.12000274658203,1091.5,31.010000228881836,387.1679992675781
2016-01-19,7435.10009765625,17048.369140625,19635.810546875,9664.2099609375,1881.3299560546875,4147.06982421875,2.0350000858306885,98.98999786376953,1089.9000244140625,28.760000228881836,380.14898681640625
2016-01-20,7309.2998046875,16416.189453125,18886.30078125,9391.6396484375,1859.3299560546875,4136.27978515625,1.9839999675750732,99.08999633789062,1107.0999755859375,27.8799991607666,420.2300109863281
2016-01-21,7276.7998046875,16017.259765625,18542.150390625,9574.16015625,1868.989990234375,4142.60009765625,2.0190000534057617,99.05999755859375,1099.0999755859375,29.25,410.2619934082031
2016-01-22,7422.4501953125,16958.529296875,19080.509765625,9764.8798828125,1906.9000244140625,4259.77001953125,2.0480000972747803,99.56999969482422,1097.199951171875,32.18000030517578,382.49200439453125
2016-01-23,7422.4501953125,16958.529296875,19080.509765625,9764.8798828125,1906.9000244140625,4259.77001953125,2.0480000972747803,99.56999969482422,1097.199951171875,32.18000030517578,387.4909973144531
2016-01-24,7422.4501953125,16958.529296875,19080.509765625,9764.8798828125,1906.9000244140625,4259.77001953125,2.0480000972747803,99.56999969482422,1097.199951171875,32.18000030517578,402.97100830078125
2016-01-25,7436.14990234375,17110.91015625,19340.140625,9736.150390625,1877.0799560546875,4196.52978515625,2.0220000743865967,99.36000061035156,1106.199951171875,30.5,391.72601318359375
